6.954458951950073
         24001119 function calls (24000883 primitive calls) in 6.966 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1157409    3.367    0.000    4.271    0.000 train_bpe.py:65(merge_byte_pair)
      243    1.635    0.007    6.808    0.028 train_bpe.py:51(merge_once)
12438084/12438070    0.598    0.000    0.598    0.000 {built-in method builtins.len}
  4531409    0.453    0.000    0.453    0.000 {method 'get' of 'dict' objects}
      243    0.377    0.002    4.648    0.019 train_bpe.py:61(<dictcomp>)
  5640725    0.306    0.000    0.306    0.000 {method 'append' of 'list' objects}
      243    0.066    0.000    0.066    0.000 train_bpe.py:59(<listcomp>)
        1    0.056    0.056    0.094    0.094 train_bpe.py:78(pre_tokenization)
        1    0.048    0.048    6.954    6.954 train_bpe.py:8(train_bpe)
   160785    0.027    0.000    0.027    0.000 train_bpe.py:85(<genexpr>)
5822/5821    0.013    0.000    0.013    0.000 {built-in method builtins.max}
    27758    0.003    0.000    0.003    0.000 {method 'group' of '_regex.Match' objects}
        1    0.003    0.003    0.009    0.009 _regex_core.py:1(<module>)
    27759    0.003    0.000    0.003    0.000 {method 'encode' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {method 'split' of '_regex.Pattern' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:814(__add__)
        4    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       63    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
        1    0.001    0.001    0.011    0.011 regex.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    6.966    6.966 train_bpe.py:1(<module>)
       34    0.000    0.000    0.001    0.000 enum.py:242(__set_name__)
      186    0.000    0.000    0.001    0.000 enum.py:1525(__and__)
      648    0.000    0.000    0.000    0.000 enum.py:1507(_get_value)
     11/1    0.000    0.000    0.001    0.001 _parser.py:516(_parse)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
